"name","type","input","output","package","pathString"
"arma_modelspec","function","xts","tsarma.spec","tsarma","tsarma/arma_modelspec"
"simulate","method","tsarma.spec","tsarma.simulate","tsmethods","tsarma/arma_modelspec/simulate"
"tsfilter","method","tsarma.spec","tsarma.estimate","tsmethods","tsarma/arma_modelspec/tsfilter"
"tsbacktest","method","tsarma.spec","list","tsmethods","tsarma/arma_modelspec/tsbacktest"
"estimate","method","tsarma.spec","tsarma.estimate","tsmethods","tsarma/estimate"
"summary","method","tsarma.estimate","summary.tsarma","stats","tsarma/estimate/summary"
"tidy","method","tsarma.estimate","tibble","tidy","tsarma/estimate/tidy"
"glance","method","tsarma.estimate","tibble","glance","tsarma/estimate/glance"
"print","method","summary.tsarma","print","base","tsarma/estimate/summary/print"
"as_flextable","method","summary.tsarma","flextable","flextable","tsarma/estimate/summary/as_flextable"
"plot","method","tsarma.estimate","plot","graphics","tsarma/estimate/plot"
"coef","method","tsarma.estimate","numeric","stats","tsarma/estimate/coef"
"logLik","method","tsarma.estimate","logLik","stats","tsarma/estimate/logLik"
"fitted","method","tsarma.estimate","xts","stats","tsarma/estimate/fitted"
"residuals","method","tsarma.estimate","xts","stats","tsarma/estimate/residuals"
"tsequation","method","tsarma.estimate","list","tsmethods","tsarma/estimate/tsequation"
"AIC","method","tsarma.estimate","numeric","stats","tsarma/estimate/AIC"
"BIC","method","tsarma.estimate","numeric","stats","tsarma/estimate/BIC"
"confint","method","tsarma.estimate","matrix","stats","tsarma/estimate/confint"
"vcov","method","tsarma.estimate","matrix","stats","tsarma/estimate/vcov"
"bread","method","tsarma.estimate","matrix","sandwich","tsarma/estimate/bread"
"estfun","method","tsarma.estimate","matrix","sandwich","tsarma/estimate/estfun"
"predict","method","tsarma.estimate","tsmodel.predict","stats","tsarma/estimate/predict"
"plot","method","tsmodel.predict","plot","tsmethods","tsarma/estimate/predict/plot"
"pit","method","tsarma.predict","xts","tsmethods","tsarma/estimate/predict/pit"
"simulate","method","tsarma.estimate","tsmodel.simulate","stats","tsarma/estimate/simulate"
"tsfilter","method","tsarma.estimate","tsmodel.estimate","tsmethods","tsarma/estimate/tsfilter"
"unconditional","method","tsarma.estimate","numeric","tsmethods","tsarma/estimate/unconditional"
"sigma","method","tsarma.estimate","numeric","tsmethods","tsarma/estimate/sigma"
"nobs","method","tsarma.estimate","numeric","stats","tsarma/estimate/nobs"
"pit","method","tsarma.estimate","xts","tsmethods","tsarma/estimate/pit"
"halflife","method","numeric","numeric","tsmethods","tsarma/estimate/halflife"
"arma_irf","function","numeric","arma.irf","tsarma","tsarma/arma_irf"
"plot","method","arma.irf","plot","graphics","tsarma/arma_irf/plot"
"arma_roots","function","numeric","arma.roots","tsarma","tsarma/arma_roots"
"plot","method","arma.roots","plot","graphics","tsarma/arma_roots/plot"
